vcurve  -0.5000  10.2322
vcurve  -0.4899  10.4186
vcurve  -0.4799  10.6043
vcurve  -0.4698  10.7892
vcurve  -0.4598  10.9735
vcurve  -0.4497  11.1571
vcurve  -0.4397  11.3403
vcurve  -0.4296  11.5232
vcurve  -0.4196  11.7057
vcurve  -0.4095  11.8880
vcurve  -0.3995  12.0702
vcurve  -0.3894  12.2525
vcurve  -0.3794  12.4349
vcurve  -0.3693  12.6176
vcurve  -0.3593  12.8007
vcurve  -0.3492  12.9842
vcurve  -0.3392  13.1684
vcurve  -0.3291  13.3534
vcurve  -0.3191  13.5392
vcurve  -0.3090  13.7261
vcurve  -0.2990  13.9141
vcurve  -0.2889  14.1035
vcurve  -0.2789  14.2944
vcurve  -0.2688  14.4868
vcurve  -0.2588  14.6811
vcurve  -0.2487  14.8774
vcurve  -0.2387  15.0758
vcurve  -0.2286  15.2766
vcurve  -0.2186  15.4799
vcurve  -0.2085  15.6860
vcurve  -0.1985  15.8950
vcurve  -0.1884  16.1073
vcurve  -0.1784  16.3231
vcurve  -0.1683  16.5426
vcurve  -0.1583  16.7661
vcurve  -0.1482  16.9940
vcurve  -0.1382  17.2266
vcurve  -0.1281  17.4642
vcurve  -0.1181  17.7072
vcurve  -0.1080  17.9560
vcurve  -0.0980  18.2110
vcurve  -0.0879  18.4728
vcurve  -0.0779  18.7418
vcurve  -0.0678  19.0187
vcurve  -0.0578  19.3039
vcurve  -0.0477  19.5982
vcurve  -0.0377  19.9023
vcurve  -0.0276  20.2169
vcurve  -0.0176  20.5427
vcurve  -0.0075  20.8808
vcurve  0.0025  21.2318
vcurve  0.0126  21.5969
vcurve  0.0226  21.9767
vcurve  0.0327  22.3723
vcurve  0.0427  22.7842
vcurve  0.0528  23.2127
vcurve  0.0628  23.6578
vcurve  0.0729  24.1182
vcurve  0.0829  24.5911
vcurve  0.0930  25.0713
vcurve  0.1030  25.5487
vcurve  0.1131  26.0061
vcurve  0.1231  26.4140
vcurve  0.1332  26.7234
vcurve  0.1432  26.8541
